ts,side,reason,price,qty,fee,spend,near_support,velocity_paused,avg_entry,total_spent,pnl
2022-05-05 14:00:00+00:00,BUY,drop_dca,2883.2,0.00844894561598224,0.015833999999999997,24.359999999999996,True,False,2883.2000000000003,24.359999999999996,0.0
2022-05-05 15:00:00+00:00,BUY,drop_dca,2809.43,0.008142403159858048,0.014869082611109996,22.875511709399994,True,False,2846.996488807625,47.23551170939999,0.0
2022-05-05 15:50:00+00:00,BUY,drop_dca,2731.35,0.007748559178603742,0.013756617623111565,21.16402711247933,False,False,2810.180669125776,68.39953882187932,0.0
2022-05-06 11:10:00+00:00,BUY,drop_dca,2673.33,0.007441415795533357,0.012930684057637571,19.893360088673187,False,False,2778.137865028839,88.29289891055251,0.0
2022-05-07 22:20:00+00:00,BUY,drop_dca,2618.2,0.007141922940306065,0.01215433871750107,18.69898264230934,False,False,2748.7912918520906,106.99188155286186,0.0
2022-05-08 02:25:00+00:00,BUY,drop_dca,2561.33,0.0068621827033016934,0.011424604375241022,17.576314423447727,False,False,2720.6951562140957,124.56819597630958,0.0
2022-05-08 17:00:00+00:00,BUY,drop_dca,2508.34,0.006586447643373046,0.010738682553155927,16.52105008177835,False,False,2693.9887214377095,141.08924605808792,0.0
2022-05-09 02:25:00+00:00,BUY,drop_dca,2456.46,0.0063217568191293394,0.010093942791346996,15.529142755918457,False,False,2668.4050470963025,156.61838881400638,0.0
2022-05-09 10:30:00+00:00,BUY,drop_dca,2403.46,0.006073239643678642,0.009487912560097315,14.59678855399587,False,False,2643.56094583785,171.21517736800226,0.0
2022-05-09 16:40:00+00:00,BUY,drop_dca,2346.72,0.0058466335847491445,0.008918267777901633,13.720411966002512,False,False,2618.983208306883,184.93558933400476,0.0
2022-05-09 17:00:00+00:00,SELL,stop_loss,2299.87,0.07061350708451532,0.10556122625000174,0.0,False,False,2618.983208306883,184.93558933400476,-22.639264021790524
2022-06-08 03:30:00+00:00,BUY,drop_dca,1765.97,0.013590264840286075,0.0156,24.0,False,False,1765.97,24.0,0.0
2022-06-10 12:50:00+00:00,BUY,drop_dca,1728.63,0.01305025598306173,0.014663391599999999,22.559064,False,False,1747.6784447545615,46.559064,0.0
2022-06-10 16:25:00+00:00,BUY,drop_dca,1669.58,0.01270058359378047,0.013783016231727598,21.204640356503997,False,False,1722.4657355323538,67.763704356504,0.0
2022-06-11 08:35:00+00:00,BUY,drop_dca,1635.58,0.012186218316523712,0.012955497720190903,19.931534954139853,False,False,1701.917248135443,87.69523931064384,0.0
2022-06-11 08:55:00+00:00,BUY,drop_dca,1575.93,0.011888133056054679,0.012177662592568363,18.73486552702825,False,False,1678.299138787352,106.43010483767209,0.0
2022-06-11 14:50:00+00:00,BUY,drop_dca,1520.53,0.011581516271070617,0.011446527908173153,17.610042935651006,False,False,1653.9354105229925,124.0401477733231,0.0
2022-06-12 02:25:00+00:00,BUY,drop_dca,1469.72,0.011262521819011414,0.010759289819094346,16.552753567837456,False,False,1629.883216531399,140.59290134116054,0.0
2022-06-12 05:00:00+00:00,BUY,drop_dca,1437.42,0.010824214771172002,0.010113312817645739,15.55894279637806,False,False,1608.424794513589,156.1518441375386,0.0
2022-06-13 00:45:00+00:00,SELL,stop_loss,1407.0,0.0970837086509607,0.08878790574673612,0.0,False,False,1608.424794513589,156.1518441375386,-19.643853971383606
2022-07-30 01:50:00+00:00,BUY,drop_dca,1688.92,0.01421026454775833,0.0156,24.0,False,False,1688.92,24.0,0.0
2022-08-01 11:05:00+00:00,BUY,drop_dca,1646.8,0.01369872722856449,0.014663391599999999,22.559064,False,False,1668.2460037664048,46.559064,0.0
2022-08-01 22:10:00+00:00,BUY,drop_dca,1613.41,0.013142747569746064,0.013783016231727598,21.204640356503997,False,False,1650.6902127885853,67.763704356504,0.0
2022-08-02 03:05:00+00:00,BUY,drop_dca,1581.06,0.012606438056835196,0.012955497720190903,19.931534954139853,False,False,1634.3313089478438,87.69523931064384,0.0
2022-08-05 11:40:00+00:00,SELL,profit_target,1707.67,0.05365817740290408,0.05955979887365118,0.0,False,False,1634.3313089478438,87.69523931064384,3.8756606960997146
2022-09-08 07:20:00+00:00,BUY,drop_dca,1598.56,0.01523871484335902,0.015833999999999997,24.359999999999996,True,False,1598.56,24.359999999999996,0.0
2022-09-09 03:30:00+00:00,SELL,profit_target,1669.26,0.01523871484335902,0.01653429514062656,0.0,False,False,1598.56,24.359999999999996,1.0608428442848563
2023-02-16 23:45:00+00:00,BUY,drop_dca,1641.51,0.01462068461355703,0.0156,24.0,False,False,1641.51,24.0,0.0
2023-02-17 19:45:00+00:00,SELL,profit_target,1708.55,0.01462068461355703,0.01623711095272036,0.0,False,False,1641.51,24.0,0.9639335855401434
2023-04-19 08:10:00+00:00,BUY,drop_dca,2030.14,0.011821844798880864,0.0156,24.0,False,False,2030.1400000000003,24.0,0.0
2023-04-19 08:40:00+00:00,BUY,drop_dca,1986.57,0.011355786103686254,0.014663391599999999,22.559064,False,False,2008.7930554991794,46.559064,0.0
2023-04-19 23:20:00+00:00,BUY,drop_dca,1931.41,0.010978839478155335,0.013783016231727598,21.204640356503997,False,False,1983.919989424584,67.763704356504,0.0
2023-04-21 17:15:00+00:00,BUY,drop_dca,1889.2,0.010550251404901467,0.012955497720190903,19.931534954139853,False,False,1961.5672052886573,87.69523931064384,0.0
2023-04-21 19:05:00+00:00,BUY,drop_dca,1843.75,0.010161282997710238,0.012177662592568363,18.73486552702825,False,False,1939.7480418314685,106.43010483767209,0.0
2023-04-26 20:00:00+00:00,BUY,drop_dca,1801.24,0.004961635756391643,0.005809112913397874,8.937096789842883,True,True,1928.2616540360664,115.36720162751497,0.0
2023-05-06 00:20:00+00:00,SELL,profit_target,2008.44,0.0598296405397258,0.07810675810964449,0.0,False,False,1928.2616540360664,115.36720162751497,4.718934859982284
2023-08-17 15:15:00+00:00,BUY,drop_dca,1770.3,0.013557024233180818,0.0156,24.0,False,False,1770.3,24.0,0.0
2023-08-17 15:35:00+00:00,BUY,drop_dca,1734.27,0.013007815392066979,0.014663391599999999,22.559064,False,False,1752.6574470921803,46.559064,0.0
2023-08-17 21:40:00+00:00,BUY,drop_dca,1547.03,0.00685333844738111,0.006891508115863799,10.602320178251999,False,True,1710.487748734271,57.161384178252,0.0
2023-10-23 22:55:00+00:00,SELL,profit_target,1784.81,0.03341817807262891,0.03876931396377572,0.0,False,False,1710.487748734271,57.161384178252,2.4449449135930266
2023-10-05 15:00:00+00:00,BUY,drop_dca,1629.47,0.014949646203980432,0.015833999999999997,24.359999999999996,True,False,1629.47,24.359999999999996,0.0
2023-10-09 09:50:00+00:00,BUY,drop_dca,1594.28,0.01434849067252929,0.014869082611109996,22.875511709399994,True,False,1612.2360240344108,47.23551170939999,0.0
2023-10-09 16:40:00+00:00,BUY,drop_dca,1556.88,0.013593871790041191,0.013756617623111565,21.16402711247933,False,False,1594.6919006201801,68.39953882187932,0.0
2023-10-22 22:50:00+00:00,SELL,profit_target,1662.24,0.042892008666550914,0.04634292811582693,0.0,False,False,1594.6919006201801,68.39953882187932,2.8509307358924474
2024-04-09 08:05:00+00:00,BUY,drop_dca,3596.12,0.006673859604240126,0.0156,24.0,False,False,3596.12,24.0,0.0
2024-04-09 14:45:00+00:00,BUY,drop_dca,3505.15,0.0065325164286835075,0.014883342473999996,22.897449959999996,True,False,3551.121809880634,46.897449959999996,0.0
