ts,side,reason,price,qty,fee,spend,near_support,velocity_paused,avg_entry,total_spent,pnl
2022-05-05 14:15:00+00:00,BUY,drop_dca,2876.99,0.009927041804107768,0.018564,28.560000000000002,True,False,2876.99,28.560000000000002,0.0
2022-05-05 15:05:00+00:00,BUY,drop_dca,2755.25,0.009436348977406769,0.016899675338,25.99950052,False,False,2817.6625228307535,54.55950052,0.0
2022-05-06 11:10:00+00:00,BUY,drop_dca,2673.33,0.009044282788255226,0.01571592912911212,24.17835250632634,False,False,2771.710708127674,78.73785302632635,0.0
2022-05-07 22:50:00+00:00,BUY,drop_dca,2596.81,0.00865861103270723,0.014615099015298897,22.48476771584446,False,False,2730.8542474042974,101.2226207421708,0.0
2022-05-08 02:50:00+00:00,BUY,drop_dca,2527.36,0.00827338049142357,0.013591377097222778,20.909810918804276,False,False,2693.721521939633,122.13243166097507,0.0
2022-05-09 02:25:00+00:00,BUY,drop_dca,2456.46,0.007915932992229131,0.01263936229275926,19.44517275809117,False,False,2658.454876238444,141.57760441906623,0.0
2022-05-09 10:45:00+00:00,BUY,drop_dca,2379.61,0.0075991973095021,0.01175403184128179,18.083125909664293,False,False,2623.634329730917,159.66073032873052,0.0
2022-05-09 17:00:00+00:00,BUY,drop_dca,2299.87,0.00731192820192398,0.010930714803943286,16.816484313758902,False,False,2588.905632084939,176.47721464248943,0.0
2022-05-09 19:45:00+00:00,BUY,drop_dca,2240.43,0.006980162407109128,0.010165067420143677,15.638565261759503,False,False,2556.5368056944235,192.11577990424894,0.0
2022-05-11 12:50:00+00:00,BUY,drop_dca,2183.08,0.0033308797979728017,0.004726525095083001,7.271577069358464,False,True,2540.6859501459694,199.3873569736074,0.0
2022-05-11 17:40:00+00:00,SELL,stop_loss,2151.97,0.0784777658026377,0.10977316848829644,0.0,False,False,2540.6859501459694,199.3873569736074,-30.61533246779348
2022-06-08 03:30:00+00:00,BUY,drop_dca,1765.97,0.015855308980333757,0.0182,28.000000000000004,False,False,1765.9699999999998,28.000000000000004,0.0
2022-06-10 13:25:00+00:00,BUY,drop_dca,1720.02,0.015138618155602844,0.0169251719,26.038726000000004,False,False,1743.5262644514514,54.03872600000001,0.0
2022-06-10 16:25:00+00:00,BUY,drop_dca,1669.58,0.014503546052280814,0.01573963977167855,24.214830417967,False,False,1719.9538992911046,78.25355641796702,0.0
2022-06-11 08:40:00+00:00,BUY,drop_dca,1621.66,0.013886197176920743,0.01463714883405144,22.518690513925293,False,False,1696.968986798293,100.77224693189231,0.0
2022-06-11 08:55:00+00:00,BUY,drop_dca,1575.93,0.013288253651832338,0.01361188242539589,20.941357577532138,False,False,1674.8366877007638,121.71360450942444,0.0
2022-06-11 14:50:00+00:00,BUY,drop_dca,1520.53,0.012807711597492397,0.012658431314967822,19.474509715335113,False,False,1651.7163791099613,141.18811422475954,0.0
2022-06-12 02:25:00+00:00,BUY,drop_dca,1469.72,0.012322352519574887,0.011771765164295242,18.110407945069603,False,False,1628.7861341991356,159.29852216982914,0.0
2022-06-12 05:25:00+00:00,BUY,drop_dca,1432.02,0.011760907924018682,0.010947205987479601,16.841855365353233,False,False,1607.6644911051553,176.14037753518238,0.0
