ts,side,reason,price,qty,fee,spend,near_support,avg_entry,total_spent,pnl
2022-01-05 20:05:00+00:00,BUY,drop_dca,3612.26,0.004429360012845144,0.0104,16.0,False,3612.26,16.0,0.0
2022-01-06 03:45:00+00:00,BUY,drop_dca,3466.24,0.004431194608567208,0.0099837296,15.359584,False,3539.2348831321074,31.359583999999998,0.0
2022-01-06 09:50:00+00:00,BUY,drop_dca,3311.95,0.004451999967033319,0.009584120839030399,14.744801290816,False,3463.2260085401826,46.104385290816,0.0
2022-01-07 04:35:00+00:00,BUY,drop_dca,3175.79,0.004457040885685073,0.009200506818327368,14.154625874349797,False,3391.130161229152,60.259011165165795,0.0
2022-01-08 17:55:00+00:00,BUY,drop_dca,3040.55,0.004468952268209064,0.008832247332416996,13.588072819103072,False,3320.6792475783814,73.84708398426886,0.0
2022-01-21 01:55:00+00:00,BUY,drop_dca,2900.0,0.004497998833257121,0.008478727800689673,13.044196616445651,False,3249.906653240782,86.89128060071451,0.0
2022-01-21 12:35:00+00:00,BUY,drop_dca,2738.31,0.004572926221894453,0.008139358241739269,12.522089602675798,False,3175.1850580938444,99.41337020339031,0.0
2022-01-21 21:50:00+00:00,BUY,drop_dca,2618.16,0.004591346764231024,0.007813572288755413,12.020880444239097,False,3103.9472638234993,111.43425064762941,0.0
2022-01-22 05:40:00+00:00,BUY,drop_dca,2512.37,0.004593166087629602,0.007500826244325687,11.53973268357798,False,3036.84562927619,122.97398333120739,0.0
2022-01-22 09:45:00+00:00,BUY,drop_dca,2393.07,0.00462913468606647,0.007200598173070307,11.077843343185089,False,2970.8013470241162,134.0518266743925,0.0
2022-01-24 11:10:00+00:00,BUY,drop_dca,2276.52,0.004671358734177939,0.006912387030594995,10.634441585530762,False,2905.668880634319,144.68626825992325,0.0
2022-01-24 14:05:00+00:00,BUY,drop_dca,2163.29,0.0047191025829307716,0.0066357118273084005,10.208787426628309,False,2841.403022715731,154.89505568655156,0.0
2022-02-04 23:45:00+00:00,SELL,profit_target,2987.84,0.054513581652527184,0.10587060887304643,0.0,False,2841.403022715731,154.89505568655156,7.876933509262244
2022-04-06 14:00:00+00:00,BUY,drop_dca,3235.45,0.004945216275943068,0.0104,16.0,False,3235.45,16.0,0.0
2022-04-11 09:55:00+00:00,BUY,drop_dca,3081.96,0.00498370647250451,0.0099837296,15.359584,False,3158.407492384124,31.359583999999998,0.0
2022-04-11 21:45:00+00:00,BUY,drop_dca,2957.18,0.004986102060346682,0.009584120839030399,14.744801290816,False,3091.1370166566358,46.104385290816,0.0
2022-04-25 06:10:00+00:00,BUY,drop_dca,2838.85,0.004986042191151275,0.009200506818327368,14.154625874349797,False,3027.928661580342,60.259011165165795,0.0
2022-04-30 23:05:00+00:00,BUY,drop_dca,2723.07,0.005039882760007676,0.008920569805741166,13.723953547294101,True,2966.325076812099,73.9829647124599,0.0
2022-05-07 22:45:00+00:00,BUY,drop_dca,2613.25,0.005039374507974081,0.008559944531426123,13.169145432963267,True,2906.9769014692674,87.15211014542317,0.0
2022-05-08 17:00:00+00:00,BUY,drop_dca,2508.34,0.004988019821602848,0.008132572265557537,12.51164963931929,False,2850.1137923366164,99.66375978474245,0.0
2022-05-09 10:30:00+00:00,BUY,drop_dca,2403.46,0.0049973198434156985,0.007807057928056331,12.010858350855894,False,2794.2640543383786,111.67461813559835,0.0
2022-05-09 17:00:00+00:00,BUY,drop_dca,2299.87,0.005013375423178065,0.007494572627427949,11.530111734504537,False,2739.1587644774486,123.20472987010288,0.0
2022-05-10 00:25:00+00:00,BUY,drop_dca,2206.22,0.005017000789685189,0.0071945948634425175,11.068607482219258,False,2685.6794450265593,134.27333735232213,0.0
2022-05-11 20:05:00+00:00,BUY,drop_dca,2103.35,0.005051739082480781,0.006906624009438368,10.62557539913595,False,2632.239025493555,144.89891275145808,0.0
2022-05-12 03:05:00+00:00,BUY,drop_dca,2015.29,0.005061443324886312,0.0066301794768365875,10.200276118210136,False,2580.289384585839,155.0991888696682,0.0
2022-05-12 07:45:00+00:00,BUY,drop_dca,1909.55,0.005127909646933915,0.006364799913096727,9.791999866302657,False,2527.5664820792445,164.89118873597087,0.0
2022-05-26 08:40:00+00:00,BUY,drop_dca,1831.33,0.00513291721298402,0.006110042431775116,9.400065279654026,False,2476.781748332745,174.2912540156249,0.0
2022-05-26 13:15:00+00:00,BUY,drop_dca,1756.61,0.005137064155828894,0.005865481873400885,9.023818266770594,False,2427.7854577908774,183.3150722823955,0.0
